날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-01-01,0,0,0,0,0,0,0,0,48000,441600,1065600,950400,2524800,1459200,4560000,2640000,1411200,48000,0,0,0,0,0,0
2021-01-02,0,0,0,0,0,0,0,0,76800,1468800,6288000,7248000,8265600,8697600,7766400,5347200,2054400,86400,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,912000,3724800,6316800,7766400,7094400,3379200,2160000,960000,364800,0,0,0,0,0,0,0
2021-01-04,0,0,0,0,0,0,0,0,1219200,3369600,6048000,7776000,8332800,8256000,4972800,2592000,1459200,144000,0,0,0,0,0,0
2021-01-05,0,0,0,0,0,0,0,0,979200,2726400,3696000,2592000,2563200,2140800,1881600,1372800,816000,38400,0,0,0,0,0,0
2021-01-06,0,0,0,0,0,0,0,0,57600,662400,2985600,7324800,7689600,8400000,5347200,2044800,1468800,48000,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,0,0,0,28800,355200,595200,998400,1977600,1036800,864000,480000,67200,9600,0,0,0,0,0,0
2021-01-08,0,0,0,0,0,0,0,0,0,28800,182400,259200,268800,201600,96000,19200,0,0,0,0,0,0,0,0
2021-01-09,0,0,0,0,0,0,0,0,0,0,96000,172800,211200,230400,240000,86400,0,0,0,0,0,0,0,0
2021-01-10,0,0,0,0,0,0,0,0,28800,105600,172800,297600,480000,470400,748800,422400,220800,9600,0,0,0,0,0,0
2021-01-11,0,0,0,0,0,0,0,0,19200,345600,748800,1296000,1488000,1353600,1219200,854400,297600,28800,0,0,0,0,0,0
2021-01-12,0,0,0,0,0,0,0,0,240000,1132800,2995200,5817600,7516800,4982400,1843200,2832000,1305600,172800,0,0,0,0,0,0
2021-01-13,0,0,0,0,0,0,0,0,960000,3168000,5702400,7660800,8332800,8073600,6998400,4992000,2188800,240000,0,0,0,0,0,0
2021-01-14,0,0,0,0,0,0,0,9600,844800,2976000,6201600,7910400,8323200,7910400,6787200,4809600,2102400,240000,0,0,0,0,0,0
2021-01-15,0,0,0,0,0,0,0,0,576000,2332800,4022400,4204800,2937600,4291200,3820800,1660800,537600,96000,0,0,0,0,0,0
2021-01-16,0,0,0,0,0,0,0,0,316800,1123200,3878400,6595200,6211200,5193600,2294400,1430400,508800,38400,0,0,0,0,0,0
2021-01-17,0,0,0,0,0,0,0,0,57600,1046400,3868800,8755200,9542400,10041600,7584000,6672000,3033600,336000,0,0,0,0,0,0
2021-01-18,0,0,0,0,0,0,0,0,0,76800,2294400,5712000,3772800,7017600,3331200,3475200,2092800,326400,0,0,0,0,0,0
2021-01-19,0,0,0,0,0,0,0,19200,1689600,5241600,8131200,9696000,10425600,10156800,8995200,6844800,3446400,470400,0,0,0,0,0,0
2021-01-20,0,0,0,0,0,0,0,19200,1622400,4992000,7603200,8985600,9350400,8928000,7929600,5942400,2361600,345600,0,0,0,0,0,0
