날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,,,
2021-01-01,67.53,67.55,66.74,66.74,67.72,67.72,67.72,65.93,67.72,67.72,66.46,64.62,63.31,64.52,66.85,65.36,67.72,67.72,67.72,67.72,67.72,67.72,68.45,68.45,,,
2021-01-02,69.61,68.88,68.01,66.19,66.34,68.18,68.21,69.61,67.82,65.84,67.4,65.57,64.53,64.41,64.48,69.58,67.45,69.58,69.58,69.58,67.91,67.9,68.59,69.61,,,
2021-01-03,66.49,67.09,68.6,63.26,63.26,66.06,69.5,69.12,68.18,62.66,69.47,68.68,62.03,66.35,66.41,69.47,67.83,69.47,69.47,69.47,67.91,66.37,67.49,67.72,,,
2021-01-04,66.4,64.88,62.55,62.55,64.25,66.43,69.65,71.17,73.04,84.76,72.72,71.72,69.32,69.77,71.92,71.92,72.3,72.3,72.2,71.79,69.49,68.18,68.18,69.44,,,
2021-01-05,69.33,69.33,69.33,69.33,69.33,69.33,69.44,72.79,75.78,75.78,75.58,72.87,73.89,73.31,73.31,73.31,73.31,72.82,72.82,71.59,70.72,69.07,69.08,69.65,,,
2021-01-06,68.81,68.81,68.81,68.81,68.81,68.81,68.81,74.06,76.65,76.64,74.85,73.9,69.52,74.1,74.1,74.18,74.18,74.18,74.18,71.71,70.82,69.09,69.09,70.65,,,
2021-01-07,69.33,69.65,69.33,69.33,69.33,69.33,69.33,74.72,75.53,75.72,74.83,74.21,73.3,73.25,74.72,74.69,74.79,74.69,74.69,74.22,71.17,70.72,69.33,73.03,,,
2021-01-08,70.26,69.33,69.33,69.33,69.33,69.33,69.33,71.99,74.25,75.55,75.04,74.21,73.14,73.8,74.8,74.75,75.97,74.8,74.66,74.66,71.25,69.33,69.33,73.03,,,
2021-01-09,74.37,71.33,68.52,68.52,68.52,70.88,72.02,71,74.54,70.68,71.68,73.25,67.73,67.98,69.32,71.42,71.56,74.08,74.37,71.61,70.99,69.83,69.97,73.54,,,
2021-01-10,68.39,68.35,68.39,66.02,67.72,68.05,68.46,68.46,68.43,67.56,67.56,67.75,65.29,69.47,67.59,67.64,70.1,70.1,70.16,70.16,69.47,68.88,68.93,68.98,,,
2021-01-11,69.62,69.62,69.62,69.62,69.62,69.62,69.65,72.18,75.47,75.47,75.17,74.69,73.47,74.75,74.75,74.75,75.56,75.33,75.28,75.09,71.19,69.62,69.62,71.19,,,
2021-01-12,70.42,69.65,69.33,69.33,69.33,69.33,70.44,71.22,74.22,75.78,75.78,75.77,74.66,75.19,84.82,79.63,88.05,79.61,74.05,72.99,71.58,70.35,70.35,71.58,,,
2021-01-13,72.37,69.69,68.75,68.75,68.75,69.44,70.84,74.17,74.73,76.22,76.22,74.18,73.44,75.37,75.2,74.86,75.63,75.63,75.64,75.64,72.02,71.27,70.38,71.11,,,
2021-01-14,70.11,69.67,69.67,69.67,69.67,69.67,69.67,72.22,73.86,74.83,74.82,73.86,71.47,74.53,74.81,74.81,74.81,74.42,73.86,71,70.99,68.81,68.81,69.44,,,
2021-01-15,68.17,69.44,67.58,68.78,68.62,68.78,68.78,70.1,73.25,73.25,73.25,73.25,70.67,71.78,71.78,71.78,71.78,71.21,71.05,69.96,68.85,67.6,67.24,69.44,,,
2021-01-16,68.65,68.48,67.07,66.62,66.59,66.65,69.58,69.58,69.23,68.35,69.58,68.82,66.71,69.58,68.9,67.83,68.66,69.58,69.58,68.67,68.02,67.78,67.65,68.04,,,
2021-01-17,68.47,68.47,68.34,66.69,66.69,67.43,68.29,68.29,68.27,66.79,66.47,68.04,65.4,66.01,69.04,67.58,71.25,72.49,72.49,72.49,69.03,67.63,68.21,67.99,,,
2021-01-18,69.44,67.98,67.15,65.28,67.7,68.8,68.8,69.15,72.33,72.33,72.33,72.32,71.68,72.25,73.6,73.6,73.6,73.6,72.34,70.39,69.01,68.8,68.8,69.44,,,
